cell_number,x_position,y_position
82,202.08308605341247,196.62611275964392
83,179.08215297450425,197.56090651558074
84,260.76190476190476,196.8
85,220.5875,199.625
86,337.93457943925233,199.7336448598131
87,363.3649025069638,200.0
88,105.5993265993266,200.84848484848484
89,160.59479553903347,202.27509293680296
90,386.47727272727275,199.9
91,406.0911680911681,205.0854700854701
92,235.21884498480244,209.46504559270517
93,133.47486033519553,205.3687150837989
94,287.6986301369863,207.93835616438355
95,270.78620689655173,209.19310344827585
96,342.7423469387755,212.0841836734694
97,251.65930599369085,213.46687697160883
98,304.2686084142395,211.36245954692558
99,200.77173913043478,213.7753623188406
100,320.56906077348066,214.10773480662982
101,174.06463878326997,213.86311787072242
102,216.25172413793103,214.63793103448276
103,364.9387755102041,216.0
104,382.860103626943,215.82901554404145
105,189.21259842519686,217.45669291338584
106,154.56502242152467,214.0
107,416.6,216.405
108,109.87050359712231,216.3021582733813
109,130.54066985645932,216.45933014354068
110,396.821978021978,225.58461538461538
111,91.5421052631579,224.46315789473684
112,148.87307692307692,225.3653846153846
113,286.8354838709677,226.9967741935484
114,226.02777777777777,227.28968253968253
115,269.9812030075188,223.98496240601503
116,345.7038626609442,228.14163090128756
117,112.0,227.7220447284345
118,166.45258620689654,227.63793103448276
119,240.44973544973544,232.37037037037038
120,330.41735537190084,228.9297520661157
121,299.5164319248826,230.18779342723005
122,133.84169884169884,230.1081081081081
123,181.92201834862385,230.9862385321101
124,418.3141592920354,228.1150442477876
125,209.6060606060606,233.57575757575756
126,257.0,233.55913978494624
127,312.264367816092,232.30268199233717
128,357.6042944785276,234.38650306748465
129,195.0754716981132,236.54716981132074
130,372.2362637362637,238.62087912087912
131,109.1159420289855,237.6268115942029
132,79.6010101010101,238.010101010101
133,273.4121863799283,241.06810035842295
134,423.2368421052632,239.8859649122807
135,154.11787072243345,240.6958174904943
136,323.99557522123894,242.00442477876106
137,387.9685534591195,245.3238993710692
138,405.86267605633805,242.2112676056338
139,97.37827715355806,244.7078651685393
140,172.11023622047244,242.9724409448819
141,137.44776119402985,244.34701492537314
142,224.3390557939914,244.50643776824035
143,289.13418530351436,247.89776357827475
144,187.60115606936415,247.757225433526
145,249.3954372623574,249.73764258555133
146,305.9246031746032,248.06349206349208
147,121.9430894308943,249.7642276422764
148,350.2586206896552,251.57183908045977
149,84.21631205673759,251.16666666666666
150,205.8,249.48444444444445
151,263.0549019607843,254.05098039215687
152,238.1859296482412,255.06532663316582
153,169.04435483870967,255.83870967741936
154,421.45588235294116,254.40073529411765
155,74.35675675675675,261.0972972972973
156,330.98130841121497,257.07788161993767
157,109.42704626334519,258.48398576512454
158,371.3424657534247,255.56164383561645
159,140.7859649122807,259.82105263157894
160,156.4078431372549,259.6470588235294
161,402.75964391691394,259.8872403560831
162,224.93367346938774,258.57142857142856
163,273.54296875,261.9375
164,184.04522613065328,261.03015075376885
165,197.89743589743588,263.1752136752137
166,212.15,262.9727272727273
167,300.44444444444446,261.7936507936508
168,99.30841121495327,266.7897196261682
169,127.95094339622642,266.96603773584906
170,286.56272401433694,268.4695340501792
171,356.837962962963,266.8796296296296
172,311.06060606060606,269.38257575757575
173,341.6979166666667,267.703125
174,253.0430463576159,270.3907284768212
175,236.1951219512195,269.1170731707317
176,372.15450643776825,269.0901287553648
177,323.8218181818182,274.16
178,418.19924812030075,269.2481203007519
179,90.45833333333333,274.29583333333335
180,172.5326086956522,268.6304347826087
181,65.96470588235294,277.66470588235296
182,221.6368715083799,273.9441340782123
183,390.30252100840335,275.83193277310926
184,115.88805970149254,276.36567164179104
185,146.29739776951672,277.01486988847586
186,189.54744525547446,273.3430656934307
187,162.55172413793105,275.9396551724138
188,82.00636942675159,282.9267515923567
189,207.119341563786,279.1111111111111
190,270.38461538461536,277.40485829959516
191,295.0739130434783,280.2130434782609
192,179.82758620689654,279.94827586206895
193,403.54814814814813,281.01851851851853
194,343.70319634703196,280.310502283105
195,359.3763440860215,283.0179211469534
196,420.76881720430106,282.2795698924731
197,133.51821862348177,283.8502024291498
198,236.3240223463687,281.2960893854749
199,104.09642857142858,286.4321428571429
200,259.57377049180326,286.57377049180326
201,331.78761061946904,287.283185840708
202,196.35930735930737,287.73160173160176
203,246.4879518072289,287.26506024096386
204,306.6137184115523,288.2490974729242
205,279.3759689922481,289.0077519379845
206,222.1141304347826,287.05434782608694
207,162.6492537313433,290.89179104477614
208,77.32208588957056,294.8588957055215
